epoch,stage,train_loss,lr,accuracy,precision,recall,specificity,f1,f1_macro,balanced_accuracy,tn,fp,fn,tp,fpr,fnr,eer,auc,pr_auc,loss
28,2,0.2100787173634176,3.512911327552114e-05,0.7744213417026284,0.9631763527054108,0.7090171491794209,0.9339028776978417,0.8167817312798725,0.7616822417243043,0.8214600134386314,2077,147,1578,3845,0.06609712230215828,0.290982850820579,0.1503250377754223,0.9307340868960742,0.966452942919687,0.5270646110428413
29,2,0.2047827212974943,3.307091636218622e-05,0.766836667974369,0.9640489546149924,0.697215563341324,0.9366007194244604,0.8092027822364901,0.754744272274742,0.8169081413828922,2083,141,1642,3781,0.06339928057553956,0.302784436658676,0.1480023384943161,0.9327205716525802,0.9665735187656375,0.5147784301151056
30,2,0.20049406191691976,3.095176288192971e-05,0.8310448541911861,0.9469811729062974,0.806933431679882,0.8898381294964028,0.8713659896455596,0.8126353757751608,0.8483857805881424,1979,245,1047,4376,0.11016187050359712,0.193066568320118,0.14558743932384977,0.9370948842990884,0.9696379741216724,0.4122024430521052
31,2,0.19504684679089593,2.878871501253257e-05,0.8452988099908461,0.9437002930096274,0.8314586022496773,0.8790467625899281,0.8840309773551612,0.8258756889524677,0.8552526824198027,1955,269,914,4509,0.12095323741007194,0.1685413977503227,0.14253850008689342,0.9410825709706991,0.9711339032103808,0.39135946045498515
32,2,0.19007148782943523,2.6599188343587627e-05,0.7936445664966654,0.960699736400671,0.7392587128895445,0.9262589928057554,0.8355564818674448,0.779308602464084,0.8327588528476499,2060,164,1414,4009,0.0737410071942446,0.26074128711045547,0.14750091868235082,0.9350266882197726,0.9709113125053161,0.4866001866070978
33,2,0.1896949159394344,2.4400811656412396e-05,0.8201909245455734,0.9550359712230215,0.783330260003688,0.9100719424460432,0.8607030695978117,0.8035766869287233,0.8467011012248655,2024,200,1175,4248,0.08992805755395683,0.216669739996312,0.1460888591358151,0.9377016043444056,0.9699370363706883,0.4367390209995283
34,2,0.18418175134123588,2.221128498746745e-05,0.8153524257878907,0.9563139931740614,0.775032269961276,0.9136690647482014,0.8561825218985537,0.7991650374284587,0.8443506673547387,2032,192,1220,4203,0.08633093525179857,0.22496773003872395,0.14495339925735973,0.9374186203314685,0.970425900297909,0.4552754384950359
35,2,0.1812556644902944,2.0048237118070305e-05,0.837060285079116,0.9486573576799141,0.8143094228286926,0.8925359712230215,0.8763643580075412,0.8187419949546908,0.853422697025857,1985,239,1007,4416,0.10746402877697842,0.1856905771713074,0.13848672122600647,0.937649493165932,0.9701704182154041,0.4195682290501574
36,2,0.1800135618769141,1.7929083637813794e-05,0.8498757682751406,0.9424549782653695,0.839572192513369,0.875,0.8880436902672127,0.8301329562447175,0.8572860962566845,1946,278,870,4553,0.125,0.16042780748663102,0.14071722061775252,0.9386930848093054,0.9697861288215812,0.3994854613174032
37,2,0.17372059096424283,1.587088672447888e-05,0.8163985876814437,0.9545351730377742,0.7781670661995206,0.9096223021582733,0.8573750507923609,0.7998801859466391,0.843894684178897,2023,201,1203,4220,0.09037769784172661,0.22183293380047944,0.14486119936799963,0.9363956327101328,0.9698934469979261,0.45983268326698634
38,2,0.17165444770868524,1.3890217769411535e-05,0.8031907937753368,0.9598591549295775,0.7540106951871658,0.9231115107913669,0.8445729629247134,0.7881749148966821,0.8385611029892663,2053,171,1334,4089,0.07688848920863309,0.24598930481283424,0.14445197944539442,0.9360085507106024,0.9694828975232139,0.4843975499962161
39,2,0.17087635567790602,1.2003023954423492e-05,0.8114293186870668,0.9533135959918014,0.7718974737230315,0.9078237410071942,0.8530670470756063,0.7949641804721097,0.8398606073651129,2019,205,1237,4186,0.09217625899280575,0.22810252627696848,0.14558743932384977,0.9353621150654619,0.9701074985865321,0.4712298210080393
40,2,0.16996534244222258,1.0224499854461032e-05,0.8416372433634105,0.9477040816326531,0.8220542135349438,0.8893884892086331,0.8804186827293374,0.8230233533638946,0.8557213513717885,1978,246,965,4458,0.11061151079136691,0.17794578646505624,0.14030800069514737,0.9356814566786549,0.9692609150725998,0.42796247245260854
41,2,0.17049185210218906,8.56896509982182e-06,0.8293448411141624,0.9549270879363676,0.7969758436289877,0.908273381294964,0.8688310382953061,0.8123388119446595,0.8526246124619759,2020,204,1101,4322,0.09172661870503597,0.20302415637101234,0.13871154136989133,0.9394267869864168,0.9710452323922648,0.4436563579369265
42,2,0.16624324864732137,7.049749082911534e-06,0.8218909376225971,0.9519252170042288,0.7886778535865757,0.9028776978417267,0.8626462283178701,0.8046961152745914,0.8457777757141511,2008,216,1146,4277,0.09712230215827339,0.2113221464134243,0.14071722061775252,0.9336368909666661,0.9688355212182899,0.4673982922670279
43,2,0.1621747959528399,5.67908363781379e-06,0.8469988230678698,0.9472134595162987,0.8305366033560759,0.8871402877697842,0.8850461780310473,0.8281759428075487,0.8588384455629301,1973,251,919,4504,0.11285971223021583,0.169463396643924,0.1399909806619023,0.9367498394793292,0.9692076117050563,0.42061432716705227
44,2,0.16312832416236442,4.4680045567542806e-06,0.8327448672682097,0.9506307090039148,0.8060114327862806,0.897931654676259,0.8723680271429997,0.8149058038237282,0.8519715437312698,1997,227,1052,4371,0.10206834532374101,0.19398856721371935,0.13962218110446178,0.9355252475135878,0.9683914227456848,0.44354795070022357
45,2,0.1641576870552341,3.426262736390734e-06,0.8267294363802798,0.9513215859030837,0.7964226442928268,0.9006294964028777,0.8670079293385526,0.8092308451794996,0.8485260703478523,2003,221,1104,4319,0.09937050359712231,0.20357735570717314,0.14467679958927931,0.9346287445426289,0.9689372681756221,0.456382918017034
46,2,0.16029192927771266,2.5622456693264386e-06,0.837060285079116,0.9484646768305777,0.8144938226074129,0.8920863309352518,0.8763888888888889,0.8187084452116098,0.8532900767713323,1984,240,1006,4417,0.1079136690647482,0.18550617739258712,0.14112644054035767,0.936048224853641,0.9690285612203785,0.4357938475442101
47,2,0.159612924211844,1.8829099129515955e-06,0.8170524388649143,0.9543812104787714,0.7792734648718421,0.9091726618705036,0.8579839610191858,0.8004782932047978,0.8442230633711729,2022,202,1197,4226,0.09082733812949641,0.22072653512815785,0.14445197944539442,0.9338266801274082,0.9690272611180512,0.4773053177206738
48,2,0.15706823553357804,1.3937250793335731e-06,0.8522296325356349,0.9413942011104257,0.8441821869813756,0.8718525179856115,0.8901419405016527,0.8322514814329349,0.8580173524834935,1939,285,845,4578,0.1281474820143885,0.15581781301862438,0.13971438099382194,0.9353242650209539,0.9669524625031073,0.4118409568203482
49,2,0.1608624500520711,1.0986297971166427e-06,0.8710605466195894,0.9325404562292845,0.88198414161903,0.8444244604316546,0.9065579984836998,0.8493144273312636,0.8632043010253423,1878,346,640,4783,0.15557553956834533,0.11801585838096994,0.1359392018010154,0.9378831021481913,0.9659806331088747,0.37552152271830086
50,2,0.15990520429120442,1e-06,0.8603373872106709,0.9396325459317585,0.8581965701641158,0.8655575539568345,0.8970701619121049,0.83995435708456,0.8618770620604752,1925,299,769,4654,0.13444244604316546,0.1418034298358842,0.1379853014140412,0.9365835148587749,0.9669521253202854,0.39907908202001
